			DocID: 53 <TITLE> Freq=(46) Rank: 10.0  TF-IDF=(0.0), DocID: 54 <TITLE> Freq=(46) Rank: 10.0  TF-IDF=(0.0), DocID: 55 <TITLE> Freq=(183) Rank: 10.0  TF-IDF=(0.0), DocID: 56 <TITLE> Freq=(183) Rank: 10.0  TF-IDF=(0.0), DocID: 57 <TITLE> Freq=(142) Rank: 10.0  TF-IDF=(0.0), DocID: 58 <TITLE> Freq=(142) Rank: 10.0  TF-IDF=(0.0), DocID: 59 <TITLE> Freq=(142) Rank: 10.0  TF-IDF=(0.0), DocID: 50 <TEXT> Freq=(182) Rank: 0.0  TF-IDF=(0.0), DocID: 51 <TEXT> Freq=(182) Rank: 0.0  TF-IDF=(0.0), DocID: 52 <TEXT> Freq=(182) Rank: 0.0  TF-IDF=(0.0)
#artificialintelligence  136737			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
#artificialintelligence  538			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
$20			DocID: 50 <TEXT> Freq=(2) Rank: 1.470619541971128  TF-IDF=(2.4079456086518722), DocID: 51 <TEXT> Freq=(2) Rank: 1.470619541971128  TF-IDF=(2.4079456086518722), DocID: 52 <TEXT> Freq=(2) Rank: 1.470619541971128  TF-IDF=(2.4079456086518722)
$50 470			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
$8m			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
$xx			DocID: 57 <TEXT> Freq=(2) Rank: 1.6248838186157863  TF-IDF=(2.4079456086518722), DocID: 58 <TEXT> Freq=(2) Rank: 1.6248838186157863  TF-IDF=(2.4079456086518722), DocID: 59 <TEXT> Freq=(2) Rank: 1.6248838186157863  TF-IDF=(2.4079456086518722)
'ajedrecista'			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
'boooom			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
'heuristic'			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
'robot'			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
00:51:57			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
02:21:09			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
02:21:47			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
02:21:52			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
02:22:22			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
02:22:31			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
02:22:42			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
02:22:50			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
02:23:33			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
02:23:39			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
02:23:44			DocID: 50 <TEXT> Freq=(2) Rank: 1.470619541971128  TF-IDF=(2.4079456086518722), DocID: 51 <TEXT> Freq=(2) Rank: 1.470619541971128  TF-IDF=(2.4079456086518722), DocID: 52 <TEXT> Freq=(2) Rank: 1.470619541971128  TF-IDF=(2.4079456086518722)
02:32:08			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
04:23:37			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
06:33:36			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
09:03:14			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
100%			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
10 more			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
11th			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
12 more			DocID: 57 <TEXT> Freq=(1) Rank: 0.5202321314159015  TF-IDF=(0.5108256237659907), DocID: 58 <TEXT> Freq=(1) Rank: 0.5202321314159015  TF-IDF=(0.5108256237659907), DocID: 59 <TEXT> Freq=(1) Rank: 0.5202321314159015  TF-IDF=(0.5108256237659907), DocID: 50 <TEXT> Freq=(1) Rank: 0.4491295283365368  TF-IDF=(0.5108256237659907), DocID: 51 <TEXT> Freq=(1) Rank: 0.4491295283365368  TF-IDF=(0.5108256237659907), DocID: 52 <TEXT> Freq=(1) Rank: 0.4491295283365368  TF-IDF=(0.5108256237659907)
13:12:53			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
13th			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
13 more			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
14:44:11			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
14 more			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
15th			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
15th-16th			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
16th			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
17th			DocID: 55 <TEXT> Freq=(2) Rank: 2.118780648751992  TF-IDF=(3.2188758248682006), DocID: 56 <TEXT> Freq=(2) Rank: 2.118780648751992  TF-IDF=(3.2188758248682006)
17 more			DocID: 57 <TEXT> Freq=(3) Rank: 1.8224352661527665  TF-IDF=(3.6119184129778086), DocID: 58 <TEXT> Freq=(3) Rank: 1.8224352661527665  TF-IDF=(3.6119184129778086), DocID: 59 <TEXT> Freq=(3) Rank: 1.8224352661527665  TF-IDF=(3.6119184129778086)
1811-1816			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
18th			DocID: 55 <TEXT> Freq=(3) Rank: 2.39118777463314  TF-IDF=(4.828313737302301), DocID: 56 <TEXT> Freq=(3) Rank: 2.39118777463314  TF-IDF=(4.828313737302301)
1936-37			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
1948-49			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
1952-62			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
1980's			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
1990's			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
19:51:15			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
19:57:12			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
19th			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
1 more			DocID: 50 <TEXT> Freq=(2) Rank: 1.470619541971128  TF-IDF=(2.4079456086518722), DocID: 51 <TEXT> Freq=(2) Rank: 1.470619541971128  TF-IDF=(2.4079456086518722), DocID: 52 <TEXT> Freq=(2) Rank: 1.470619541971128  TF-IDF=(2.4079456086518722)
2000's			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
2002;			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
2019 :			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
2019-2024			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
2019   2019-11   aaai			DocID: 57 <TEXT> Freq=(10) Rank: 2.1962617191927607  TF-IDF=(12.03972804325936), DocID: 58 <TEXT> Freq=(10) Rank: 2.1962617191927607  TF-IDF=(12.03972804325936), DocID: 59 <TEXT> Freq=(10) Rank: 2.1962617191927607  TF-IDF=(12.03972804325936)
20th			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
21 more			DocID: 50 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 51 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361), DocID: 52 <TEXT> Freq=(1) Rank: 1.0585603238741175  TF-IDF=(1.2039728043259361)
23 1 :			DocID: 53 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003), DocID: 54 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003)
23:12:50			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
26 4 :			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
29 1 :			DocID: 53 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003), DocID: 54 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003)
3-step			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
33 2 :			DocID: 53 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003), DocID: 54 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003)
34 2 :			DocID: 53 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003), DocID: 54 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003)
3 more			DocID: 57 <TEXT> Freq=(1) Rank: 0.5202321314159015  TF-IDF=(0.5108256237659907), DocID: 58 <TEXT> Freq=(1) Rank: 0.5202321314159015  TF-IDF=(0.5108256237659907), DocID: 59 <TEXT> Freq=(1) Rank: 0.5202321314159015  TF-IDF=(0.5108256237659907), DocID: 50 <TEXT> Freq=(1) Rank: 0.4491295283365368  TF-IDF=(0.5108256237659907), DocID: 51 <TEXT> Freq=(1) Rank: 0.4491295283365368  TF-IDF=(0.5108256237659907), DocID: 52 <TEXT> Freq=(1) Rank: 0.4491295283365368  TF-IDF=(0.5108256237659907)
43-54			DocID: 53 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003), DocID: 54 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003)
4th			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
4 more			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
50's			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
53–60			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
5 more			DocID: 50 <TEXT> Freq=(2) Rank: 0.6239593968822623  TF-IDF=(1.0216512475319814), DocID: 51 <TEXT> Freq=(2) Rank: 0.6239593968822623  TF-IDF=(1.0216512475319814), DocID: 52 <TEXT> Freq=(2) Rank: 0.6239593968822623  TF-IDF=(1.0216512475319814), DocID: 57 <TEXT> Freq=(1) Rank: 0.5202321314159015  TF-IDF=(0.5108256237659907), DocID: 58 <TEXT> Freq=(1) Rank: 0.5202321314159015  TF-IDF=(0.5108256237659907), DocID: 59 <TEXT> Freq=(1) Rank: 0.5202321314159015  TF-IDF=(0.5108256237659907)
60's			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
60s			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
6 more			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
70's			DocID: 55 <TEXT> Freq=(3) Rank: 2.39118777463314  TF-IDF=(4.828313737302301), DocID: 56 <TEXT> Freq=(3) Rank: 2.39118777463314  TF-IDF=(4.828313737302301)
7 more			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
80's			DocID: 55 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003), DocID: 56 <TEXT> Freq=(1) Rank: 1.5791010884101484  TF-IDF=(1.6094379124341003)
85%			DocID: 57 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 58 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361), DocID: 59 <TEXT> Freq=(1) Rank: 1.2261431475257998  TF-IDF=(1.2039728043259361)
86-98			DocID: 53 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003), DocID: 54 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003)
87-94			DocID: 53 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003), DocID: 54 <TEXT> Freq=(1) Rank: 2.00587848742178  TF-IDF=(1.6094379124341003)
