			0 <TEXT>  (22) Rank: 0.0, 1 <TEXT>  (27) Rank: 0.0, 2 <TEXT>  (72) Rank: 0.0
calling			0 <TEXT>  (1) Rank: 0.0
campaign			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
campus			0 <TEXT>  (19) Rank: 0.0, 1 <TEXT>  (19) Rank: 0.0, 2 <TEXT>  (19) Rank: 0.0
campuses			2 <TEXT>  (1) Rank: 0.0
canada			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
cancellations			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
cases			1 <TEXT>  (1) Rank: 0.0
cause			0 <TEXT>  (1) Rank: 0.0
centre			0 <TEXT>  (8) Rank: 0.0, 1 <TEXT>  (8) Rank: 0.0, 2 <TEXT>  (8) Rank: 0.0
centres			0 <TEXT>  (1) Rank: 0.0
certificate			2 <TEXT>  (1) Rank: 0.0
chairs			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
challenges			0 <TEXT>  (1) Rank: 0.0
changing			0 <TEXT>  (1) Rank: 0.0
chosen			2 <TEXT>  (1) Rank: 0.0
cities			0 <TEXT>  (1) Rank: 0.0
city			0 <TEXT>  (3) Rank: 0.0
class			0 <TEXT>  (8) Rank: 0.0, 1 <TEXT>  (8) Rank: 0.0, 2 <TEXT>  (9) Rank: 0.0
classes			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
classification			1 <TEXT>  (1) Rank: 0.0
co-operative			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
cody			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
colleges			0 <TEXT>  (8) Rank: 0.0, 1 <TEXT>  (8) Rank: 0.0, 2 <TEXT>  (8) Rank: 0.0
commencement			1 <TEXT>  (1) Rank: 0.0
community			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
complete			1 <TEXT>  (1) Rank: 0.0
computer			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (5) Rank: 0.0
computing			2 <TEXT>  (1) Rank: 0.0
concordia			0 <TEXT>  (25) Rank: 0.0, 1 <TEXT>  (21) Rank: 0.0, 2 <TEXT>  (24) Rank: 0.0
concordia ca			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
concordia's			0 <TEXT>  (1) Rank: 0.0
conferral			2 <TEXT>  (1) Rank: 0.0
connected			2 <TEXT>  (1) Rank: 0.0
conrad			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
constitutes			2 <TEXT>  (1) Rank: 0.0
consult			2 <TEXT>  (1) Rank: 0.0
consulted			2 <TEXT>  (1) Rank: 0.0
contained			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
continuing			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
control			2 <TEXT>  (1) Rank: 0.0
correction			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
corresponding			2 <TEXT>  (1) Rank: 0.0
cotutelle			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
course			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (7) Rank: 0.0
courses			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (5) Rank: 0.0
cspace			0 <TEXT>  (3) Rank: 0.0, 1 <TEXT>  (3) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
culture			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
Current			1 <TITLE>  (1) Rank: 0.0
current			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (3) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
currently			2 <TEXT>  (1) Rank: 0.0
curriculum			2 <TEXT>  (1) Rank: 0.0
cut			0 <TEXT>  (2) Rank: 0.0
damage			2 <TEXT>  (2) Rank: 0.0
damages			2 <TEXT>  (1) Rank: 0.0
data			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
date			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
dates			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
de			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
deadline			1 <TEXT>  (1) Rank: 0.0
deadlines			1 <TEXT>  (3) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
dean			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
death			0 <TEXT>  (1) Rank: 0.0
define			0 <TEXT>  (2) Rank: 0.0
defines			2 <TEXT>  (1) Rank: 0.0
defining			1 <TEXT>  (1) Rank: 0.0
degree			2 <TEXT>  (2) Rank: 0.0
delays			2 <TEXT>  (1) Rank: 0.0
departments			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (5) Rank: 0.0
depend			1 <TEXT>  (1) Rank: 0.0
describe			2 <TEXT>  (1) Rank: 0.0
descriptions			2 <TEXT>  (1) Rank: 0.0
digital			0 <TEXT>  (1) Rank: 0.0
direct			0 <TEXT>  (1) Rank: 0.0
directions			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
directories			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
disclaims			2 <TEXT>  (2) Rank: 0.0
discoveries			0 <TEXT>  (1) Rank: 0.0
discretion			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
disruptions			2 <TEXT>  (1) Rank: 0.0
document			1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
documentation			1 <TEXT>  (1) Rank: 0.0
drive			0 <TEXT>  (1) Rank: 0.0
education			0 <TEXT>  (3) Rank: 0.0, 1 <TEXT>  (3) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
effect			2 <TEXT>  (1) Rank: 0.0
effect ’			0 <TEXT>  (1) Rank: 0.0
effort			2 <TEXT>  (1) Rank: 0.0
empowers			0 <TEXT>  (1) Rank: 0.0
engagement			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
engineering			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (6) Rank: 0.0
enhancing			0 <TEXT>  (1) Rank: 0.0
enrol			2 <TEXT>  (1) Rank: 0.0
enrolled			2 <TEXT>  (1) Rank: 0.0
enrolment			2 <TEXT>  (1) Rank: 0.0
ensure			2 <TEXT>  (2) Rank: 0.0
ensuring			2 <TEXT>  (1) Rank: 0.0
entire			2 <TEXT>  (1) Rank: 0.0
entrepreneurs			0 <TEXT>  (1) Rank: 0.0
equivalent			2 <TEXT>  (1) Rank: 0.0
errors			2 <TEXT>  (1) Rank: 0.0
events			0 <TEXT>  (7) Rank: 0.0, 1 <TEXT>  (7) Rank: 0.0, 2 <TEXT>  (8) Rank: 0.0
every			2 <TEXT>  (1) Rank: 0.0
except			2 <TEXT>  (1) Rank: 0.0
exchange			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
exigency			2 <TEXT>  (1) Rank: 0.0
expanded			0 <TEXT>  (1) Rank: 0.0
experiential			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
expertise			0 <TEXT>  (2) Rank: 0.0
explore			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
facebook			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
facts			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
faculties			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (5) Rank: 0.0
faculty			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (5) Rank: 0.0
failure			2 <TEXT>  (1) Rank: 0.0
fall			1 <TEXT>  (1) Rank: 0.0
familiarizing			2 <TEXT>  (1) Rank: 0.0
fast			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
february			2 <TEXT>  (1) Rank: 0.0
federal			0 <TEXT>  (2) Rank: 0.0
feedback			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
fees			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
fellows			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0
fields			0 <TEXT>  (1) Rank: 0.0
files			1 <TEXT>  (1) Rank: 0.0
financial			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
find			0 <TEXT>  (1) Rank: 0.0
fine			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
fire			2 <TEXT>  (1) Rank: 0.0
fitness			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
flickr			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
flood			2 <TEXT>  (1) Rank: 0.0
food			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
force			2 <TEXT>  (2) Rank: 0.0
fr			0 <TEXT>  (1) Rank: 0.0
friends			0 <TEXT>  (3) Rank: 0.0, 1 <TEXT>  (3) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
funding			0 <TEXT>  (3) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
future			0 <TEXT>  (7) Rank: 0.0, 1 <TEXT>  (3) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
general			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
generation			0 <TEXT>  (2) Rank: 0.0
george			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
get			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
gets			0 <TEXT>  (1) Rank: 0.0
gina			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
global			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
governance			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
grad			0 <TEXT>  (1) Rank: 0.0
graduate			0 <TEXT>  (11) Rank: 0.0, 1 <TEXT>  (17) Rank: 0.0, 2 <TEXT>  (13) Rank: 0.0
graduation			2 <TEXT>  (1) Rank: 0.0
groove			0 <TEXT>  (2) Rank: 0.0
h3g			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
h4b			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
harmony			0 <TEXT>  (2) Rank: 0.0
health			0 <TEXT>  (1) Rank: 0.0
helping			0 <TEXT>  (1) Rank: 0.0
highway			0 <TEXT>  (1) Rank: 0.0
history			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
home			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
hopes			0 <TEXT>  (1) Rank: 0.0
housing			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
however			1 <TEXT>  (1) Rank: 0.0
hub			0 <TEXT>  (5) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (5) Rank: 0.0
hubs			0 <TEXT>  (1) Rank: 0.0
humanities			0 <TEXT>  (2) Rank: 0.0
impact			0 <TEXT>  (1) Rank: 0.0
important			0 <TEXT>  (5) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
includes			1 <TEXT>  (1) Rank: 0.0
including			2 <TEXT>  (2) Rank: 0.0
incurred			2 <TEXT>  (1) Rank: 0.0
indicated			1 <TEXT>  (1) Rank: 0.0
indigenous			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
industry			0 <TEXT>  (1) Rank: 0.0
information			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (5) Rank: 0.0
innovation			0 <TEXT>  (2) Rank: 0.0
instagram			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
institutes			0 <TEXT>  (1) Rank: 0.0
integrity			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
intended			2 <TEXT>  (1) Rank: 0.0
international			0 <TEXT>  (6) Rank: 0.0, 1 <TEXT>  (9) Rank: 0.0, 2 <TEXT>  (6) Rank: 0.0
interruptions			2 <TEXT>  (1) Rank: 0.0
involved			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
items			1 <TEXT>  (1) Rank: 0.0
job			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
jobs			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
john			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
knowledge			0 <TEXT>  (1) Rank: 0.0
landscapes			0 <TEXT>  (1) Rank: 0.0
language			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
latest			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
learn			0 <TEXT>  (1) Rank: 0.0
learning			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
least			1 <TEXT>  (1) Rank: 0.0
liability			2 <TEXT>  (2) Rank: 0.0
library			0 <TEXT>  (3) Rank: 0.0, 1 <TEXT>  (3) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
life			0 <TEXT>  (3) Rank: 0.0, 1 <TEXT>  (3) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
limit			2 <TEXT>  (1) Rank: 0.0
link			2 <TEXT>  (1) Rank: 0.0
linkedin			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
links			0 <TEXT>  (9) Rank: 0.0, 1 <TEXT>  (9) Rank: 0.0, 2 <TEXT>  (10) Rank: 0.0
listed			2 <TEXT>  (1) Rank: 0.0
lock-outs			2 <TEXT>  (1) Rank: 0.0
looks			0 <TEXT>  (2) Rank: 0.0
loss			2 <TEXT>  (1) Rank: 0.0
loyola			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
made			2 <TEXT>  (1) Rank: 0.0
maisonneuve			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
majeure			2 <TEXT>  (1) Rank: 0.0
make			0 <TEXT>  (2) Rank: 0.0
makes			0 <TEXT>  (1) Rank: 0.0
mammals			0 <TEXT>  (1) Rank: 0.0
map			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
maps			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
march			1 <TEXT>  (1) Rank: 0.0
material			2 <TEXT>  (1) Rank: 0.0
matter?			0 <TEXT>  (1) Rank: 0.0
may			2 <TEXT>  (1) Rank: 0.0
media			0 <TEXT>  (7) Rank: 0.0, 1 <TEXT>  (7) Rank: 0.0, 2 <TEXT>  (7) Rank: 0.0
medium-sized			0 <TEXT>  (1) Rank: 0.0
members			0 <TEXT>  (1) Rank: 0.0
met			2 <TEXT>  (2) Rank: 0.0
modify			1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
molson			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
months			1 <TEXT>  (1) Rank: 0.0
montreal			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
moreover			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
move			0 <TEXT>  (1) Rank: 0.0
moving			0 <TEXT>  (1) Rank: 0.0
music			0 <TEXT>  (1) Rank: 0.0
must			1 <TEXT>  (2) Rank: 0.0
myconcordia			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
new			0 <TEXT>  (7) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (5) Rank: 0.0
news			0 <TEXT>  (7) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (5) Rank: 0.0
next			0 <TEXT>  (2) Rank: 0.0
next-generation			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
non-compliance			2 <TEXT>  (1) Rank: 0.0
note			2 <TEXT>  (2) Rank: 0.0
november			0 <TEXT>  (3) Rank: 0.0
number			2 <TEXT>  (1) Rank: 0.0
numbers			0 <TEXT>  (2) Rank: 0.0
offered			2 <TEXT>  (3) Rank: 0.0
office			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
offices			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
official			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
online			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
open			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
operations			2 <TEXT>  (2) Rank: 0.0
opportunities			0 <TEXT>  (5) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (5) Rank: 0.0
orientation			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
overview			1 <TEXT>  (1) Rank: 0.0
page			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
parents			0 <TEXT>  (3) Rank: 0.0, 1 <TEXT>  (3) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
partnerships			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
party			2 <TEXT>  (1) Rank: 0.0
pause			0 <TEXT>  (1) Rank: 0.0
pdf			2 <TEXT>  (2) Rank: 0.0
people			0 <TEXT>  (1) Rank: 0.0
pertain			2 <TEXT>  (1) Rank: 0.0
pipelines			0 <TEXT>  (1) Rank: 0.0
plan			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
play			0 <TEXT>  (1) Rank: 0.0
please			2 <TEXT>  (2) Rank: 0.0
